City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tiksi,71.6872,128.8694,250.37,100,45,1.25,RU,1643478454
Aswān,24.0934,32.907,290.76,25,0,3.6,EG,1643478458
Bunia,1.5667,30.25,296.86,33,65,1.65,CD,1643478478
Nuuk,64.1835,-51.7216,263.08,85,100,8.23,GL,1643478451
Cherskiy,68.75,161.3,239.07,100,73,1.07,RU,1643478478
Keetmanshoop,-26.5833,18.1333,304.21,28,81,3.73,NA,1643478478
Cuamba,-14.8031,36.5372,293.36,96,13,1.03,MZ,1643478478
Kourou,5.1552,-52.6478,303.18,66,83,3.29,GF,1643478478
Raudeberg,61.9875,5.1352,276.41,88,100,3.13,NO,1643478478
Baykit,61.67,96.37,255.27,100,100,0.31,RU,1643478478
Syracuse,37.0881,15.2792,283.09,48,15,10.41,IT,1643478478
Norman Wells,65.282,-126.8329,238.17,68,40,2.06,CA,1643478479
Xining,36.6167,101.7667,261.42,59,0,0.97,CN,1643478479
Bathsheba,13.2167,-59.5167,302.49,76,40,9.26,BB,1643478479
Qasigiannguit,68.8193,-51.1922,262.29,86,76,2.99,GL,1643478479
Salinas,36.6777,-121.6555,289.93,54,0,5.14,US,1643478479
Mirny,62.5353,113.9611,244.39,75,34,3.13,RU,1643478479
Zhigalovo,54.8097,105.1578,245.71,100,92,0.39,RU,1643478480
Alta Floresta,-9.8756,-56.0861,303.05,70,40,3.09,BR,1643478480
Jeremoabo,-10.075,-38.4808,301.98,52,100,4.56,BR,1643478480
Axum,14.1245,38.7244,289.34,51,12,1.97,ET,1643478480
Yerbogachën,61.2767,108.0108,242.79,100,81,1.75,RU,1643478480
Isangel,-19.55,169.2667,299.73,90,100,7.47,VU,1643478480
Vao,-22.6667,167.4833,299.23,87,100,3.91,NC,1643478480
Leshukonskoye,64.8989,45.7622,264.79,94,100,3.5,RU,1643478481
San Carlos,9.6612,-68.5827,309.6,26,37,2.05,VE,1643478481
Sisimiut,66.9395,-53.6735,260.23,91,100,8.85,GL,1643478481
Baghdad,33.3406,44.4009,283.1,53,0,1.54,IQ,1643478398
Gusinoye Ozero,51.1144,106.2614,247.87,99,95,1.02,RU,1643478481
Podgorica,42.4411,19.2636,278.03,33,0,7.2,ME,1643478377
Biltine,14.5333,20.9167,294.99,11,3,4.81,TD,1643478482
Ol'ga,43.7444,135.2892,259.82,55,7,6.02,RU,1643478318
Maniitsoq,65.4167,-52.9,261.2,78,100,10.98,GL,1643478482
Ilulissat,69.2167,-51.1,262.16,57,40,7.72,GL,1643478213
St. George's,12.0564,-61.7485,302.97,58,20,7.2,GD,1643478482
Ampanihy,-24.7,44.75,295.67,66,0,2.34,MG,1643478482
Tsumeb,-19.2333,17.7167,294.9,71,98,5.61,NA,1643478482
Bilibino,68.0546,166.4372,253.18,88,93,1.32,RU,1643478482
Laguna,38.421,-121.4238,288.68,82,0,0.0,US,1643478483
Eldorado,-23.7869,-54.2836,302.49,58,65,5.41,BR,1643478483
Waipawa,-41.4122,175.5153,289.51,86,12,1.85,NZ,1643478483
Hualmay,-11.0964,-77.6139,297.28,70,89,5.11,PE,1643478483
Sarapul,56.4763,53.7978,259.49,98,99,1.55,RU,1643478259
Gijang,35.2442,129.2139,275.0,29,92,2.69,KR,1643478483
Moree,-29.4667,149.85,295.16,73,84,4.12,AU,1643478483
Piaçabuçu,-10.4056,-36.4344,300.68,74,95,6.06,BR,1643478483
Lathrop,37.8227,-121.2766,285.9,70,100,2.64,US,1643478484
Ambon City,-3.6954,128.1814,298.23,94,40,1.54,ID,1643478484
Saint-Augustin,51.226,-58.6502,259.28,75,91,4.85,CA,1643478257
Ixtapa,20.7,-105.2,303.13,31,0,2.67,MX,1643478484
Warrington,53.3925,-2.5802,282.53,75,20,4.02,GB,1643478386
Grand Gaube,-20.0064,57.6608,300.37,75,4,1.79,MU,1643478484
Iracoubo,5.4802,-53.2011,300.47,71,45,3.72,GF,1643478484
Buchanan,5.8808,-10.0467,304.13,73,74,4.32,LR,1643478485
Burnie,-41.0667,145.9167,289.23,97,89,3.64,AU,1643478485
Cabedelo,-6.9811,-34.8339,303.52,69,81,2.88,BR,1643478485
Avera,33.194,-82.5271,278.66,27,1,6.33,US,1643478485
Blankenberge,51.3131,3.1323,283.72,84,83,4.47,BE,1643478361
Kiama,-34.6833,150.8667,297.25,85,100,0.89,AU,1643478485
Najrān,17.4924,44.1277,293.51,34,31,1.77,SA,1643478485
Korla,41.7597,86.1469,268.79,53,99,1.92,CN,1643478485
Portland,45.5234,-122.6762,281.14,71,20,0.89,US,1643478264
Riyadh,24.6877,46.7219,287.23,26,0,4.98,SA,1643478434
Iquitos,-3.7481,-73.2472,306.17,49,0,3.09,PE,1643478486
Bol'shoye Selo,57.7177,38.9334,260.97,99,94,0.89,RU,1643478486
Kiunga,-6.1219,141.2906,295.67,100,100,1.44,PG,1643478486
Port Hedland,-20.3167,118.5667,302.18,70,40,5.66,AU,1643478486
Bonavista,48.6499,-53.1147,274.88,84,100,5.92,CA,1643478486
Toyooka,35.5333,134.8333,276.56,82,99,2.05,JP,1643478487
Dolisie,-4.1997,12.6739,296.86,93,78,2.36,CG,1643478487
Winslow,35.0242,-110.6974,274.8,34,0,1.54,US,1643478487
Jiuquan,39.7432,98.5174,264.93,57,2,2.26,CN,1643478487
Kiryat Gat,31.61,34.7642,283.93,78,20,1.46,IL,1643478487
Zabid,14.1951,43.3152,298.57,69,23,1.31,YE,1643478488
Bud,39.447,-86.1758,268.66,71,28,2.81,US,1643478488
Dover,39.1582,-75.5244,268.14,83,40,4.02,US,1643478488
Quilmaná,-12.95,-76.3833,297.74,66,100,3.93,PE,1643478488
Pisco,-13.7,-76.2167,296.49,73,40,4.12,PE,1643478488
Topolobampo,25.6,-109.05,296.22,45,31,3.76,MX,1643478488
Biak,-0.9131,122.8766,297.83,79,98,1.81,ID,1643478488
Zyryanka,65.75,150.85,246.82,99,99,1.77,RU,1643478257
Panórama,40.5878,23.0315,278.89,54,20,0.89,GR,1643478489
Bobon,12.5246,124.5636,297.14,93,92,2.07,PH,1643478489
Santa Isabel,-23.3156,-46.2214,297.76,95,100,2.47,BR,1643478489
Waliso,8.5333,37.9833,290.35,33,12,5.01,ET,1643478489
Ilebo,-4.3167,20.5833,297.77,72,95,1.15,CD,1643478489
Tazovsky,67.4667,78.7,245.94,100,78,2.56,RU,1643478489
Bima,-8.4667,118.7167,298.34,90,100,0.4,ID,1643478490
Huanren,41.2647,125.3667,257.97,95,5,0.63,CN,1643478490
Nālūt,30.3333,10.85,282.72,25,3,4.22,LY,1643478490
Colares,38.7992,-9.4469,290.97,37,0,2.24,PT,1643478490
Port-Gentil,-0.7193,8.7815,301.13,83,40,4.12,GA,1643478490
Carutapera,-1.195,-46.02,296.47,94,100,1.66,BR,1643478490
Christchurch,-43.5333,172.6333,288.15,89,75,2.24,NZ,1643478490
Ancud,-41.8697,-73.8203,293.89,64,54,5.29,CL,1643478490
Taoudenni,22.6783,-3.9836,298.47,10,100,7.16,ML,1643478491
Letlhakane,-21.4167,25.5833,296.06,74,87,5.79,BW,1643478491
Vila Velha,-20.3297,-40.2925,305.12,65,20,5.81,BR,1643478485
Ketchikan,55.3422,-131.6461,280.14,87,100,6.69,US,1643478491
San Vicente,-26.6167,-54.1333,299.74,50,96,2.23,AR,1643478491
Kempsey,-31.0833,152.8333,292.56,96,83,1.34,AU,1643478491
Iralaya,15.0,-83.2333,301.2,62,1,5.39,HN,1643478491
Vung Tau,10.346,107.0843,297.92,82,57,3.41,VN,1643478492
Pacific Grove,36.6177,-121.9166,289.71,60,0,0.45,US,1643478478
Sawākin,19.1059,37.3321,295.19,57,92,5.12,SD,1643478492
Saint-Pierre,-21.3393,55.4781,299.97,69,77,4.12,RE,1643478492
Riverton,40.5219,-111.9391,279.73,56,0,1.34,US,1643478492
Yilan,24.757,121.753,289.21,93,100,1.45,TW,1643478492
Novaya Ladoga,60.1025,32.3019,264.9,94,100,5.23,RU,1643478492
Durban,-29.8579,31.0292,296.49,89,54,0.45,ZA,1643478414
Ponta Delgada,37.7333,-25.6667,291.21,63,20,4.63,PT,1643478493
Yablochnyy,47.1661,142.0661,255.12,94,90,2.34,RU,1643478493
Port Lincoln,-34.7333,135.8667,291.06,86,13,5.93,AU,1643478493
Chinchani,19.8667,72.7,294.58,54,0,3.22,IN,1643478493
Babaeski,41.4325,27.0931,276.83,78,83,1.77,TR,1643478493
Yei,4.095,30.6779,298.88,25,0,1.95,SS,1643478493
Taree,-31.9,152.4667,294.03,100,99,3.6,AU,1643478493
Bogale,16.2833,95.4,290.71,73,9,3.4,MM,1643478493
Pandamatenga,-18.5278,25.627,292.67,93,78,1.87,BW,1643478493
Abomsa,9.9833,39.9833,294.9,44,29,1.58,ET,1643478494
Samfya,-11.3649,29.5565,293.79,86,92,1.79,ZM,1643478494
Linqiong,30.4159,103.4609,280.05,81,99,0.86,CN,1643478494
Poum,-20.2333,164.0167,300.33,82,16,5.76,NC,1643478494
Assomada,15.1,-23.6833,293.9,69,100,5.57,CV,1643478494
Škofja Loka,46.1655,14.3063,276.93,77,20,1.03,SI,1643478494
Samarkand,39.6542,66.9597,273.83,80,94,3.09,UZ,1643478258
Cutervo,-6.379,-78.8157,292.28,42,100,2.96,PE,1643478494
Altay,47.8667,88.1167,256.48,51,4,3.28,CN,1643478495
Cam Ranh,11.9214,109.1591,298.13,78,40,3.09,VN,1643478495
Departamento de Maldonado,-34.6667,-54.9167,299.81,42,0,2.81,UY,1643478495
Komatipoort,-25.4332,31.9548,297.07,68,68,3.71,ZA,1643478495
Umluj,25.0213,37.2685,292.03,45,0,5.44,SA,1643478495
Cacoal,-11.4386,-61.4472,297.35,96,100,2.28,BR,1643478246
Tumpat,6.1978,102.171,297.14,94,20,0.0,MY,1643478495
Totness,5.8833,-56.3167,300.91,63,59,3.89,SR,1643478495
Winnemucca,40.973,-117.7357,273.21,68,0,1.54,US,1643478496
Talakan,50.3167,130.3667,240.08,100,29,0.57,RU,1643478496
Praia,14.9215,-23.5087,296.45,56,75,8.75,CV,1643478496
Imeni Zhelyabova,58.9544,36.5956,258.04,100,88,1.18,RU,1643478496
Camacha,33.0833,-16.3333,290.67,68,0,4.63,PT,1643478496
Jacareacanga,-6.2222,-57.7528,296.33,98,100,1.08,BR,1643478496
Alaca,40.1683,34.8425,260.92,92,98,1.29,TR,1643478496
Capreol,46.706,-80.9225,260.32,54,20,0.45,CA,1643478496
Rio Grande,-32.035,-52.0986,300.21,50,34,6.38,BR,1643478497
Ingham,42.6,-84.3833,267.39,67,40,2.57,US,1643478497
Brae,60.3964,-1.353,278.1,79,78,21.32,GB,1643478311
Atambua,-9.1061,124.8925,296.87,89,99,2.37,ID,1643478497
Bengkulu,-3.8004,102.2655,297.76,90,95,1.51,ID,1643478497
Lira,2.235,32.9097,300.21,23,42,4.1,UG,1643478497
Doumé,4.2333,13.45,298.9,23,98,1.5,CM,1643478497
Manacapuru,-3.2997,-60.6206,295.47,86,100,2.42,BR,1643478498
Negombo,7.2083,79.8358,301.18,83,40,2.06,LK,1643478498
Tezu,27.9167,96.1667,284.66,51,5,1.86,IN,1643478498
Moerai,-22.4333,-151.3333,299.45,76,5,3.67,PF,1643478498
Acarí,-15.4311,-74.6158,300.14,51,87,5.09,PE,1643478498
Clyde River,70.4692,-68.5914,253.28,71,90,8.75,CA,1643478498
Barcarena,-1.5058,-48.6258,298.18,83,100,4.48,BR,1643478498
Adrar,20.5022,-10.0711,302.41,10,100,5.0,MR,1643478499
Sibolga,1.7427,98.7792,297.34,91,81,1.57,ID,1643478499
Mangan,27.5167,88.5333,281.91,49,40,2.55,IN,1643478499
Wuxue,29.8506,115.5525,275.2,97,100,0.45,CN,1643478499
Khovd,48.0056,91.6419,248.5,75,15,1.31,MN,1643478499
Denpasar,-8.65,115.2167,300.96,78,40,3.09,ID,1643478499
Chicama,-7.8447,-79.1469,294.45,57,76,4.9,PE,1643478500
Russell,32.3502,-85.1999,277.59,24,0,6.17,US,1643478500
Gamba,-2.65,10.0,298.57,84,73,3.54,GA,1643478500
Montalvo,-1.8,-79.3333,299.7,80,100,1.29,EC,1643478500
Tālcher,20.95,85.2167,288.09,37,0,1.4,IN,1643478500
Nagato,34.3833,131.2,278.1,56,100,4.5,JP,1643478500
Joshīmath,30.5667,79.5667,275.66,52,12,3.58,IN,1643478500
Kupang,-10.1667,123.5833,300.47,89,75,2.06,ID,1643478500
Noumea,-22.2763,166.4572,298.71,99,100,1.54,NC,1643478248
Maralal,1.0968,36.698,291.02,54,81,3.72,KE,1643478501
Portsmouth,50.799,-1.0913,285.56,89,98,2.68,GB,1643478239
Beidao,34.5686,105.8933,263.34,93,36,0.37,CN,1643478501
Viranşehir,37.2353,39.7631,276.18,92,100,1.96,TR,1643478208
Bāgeshwar,29.85,79.7667,280.58,62,0,1.39,IN,1643478501
Chuncheng,22.1731,111.7886,284.67,70,97,3.73,CN,1643478501
Koumac,-20.5667,164.2833,299.37,87,54,3.3,NC,1643478501
Sompeta,18.9333,84.6,291.56,57,2,2.01,IN,1643478502
Flin Flon,54.7682,-101.865,257.06,72,75,3.09,CA,1643478502
Arrondissement de Rennes,48.1667,-1.6667,283.47,87,90,3.09,FR,1643478238
Sitges,41.2351,1.8119,287.71,50,1,2.49,ES,1643478502
Candia,43.0779,-71.2767,265.39,88,100,0.45,US,1643478502
Turbat,26.0023,63.044,294.16,57,0,2.71,PK,1643478502
Koson,39.0375,65.585,277.33,57,99,3.06,UZ,1643478502
Tonj,7.2737,28.6822,299.23,16,0,2.2,SS,1643478502
